,year-month,year,total_violent_count,total_gun_poss_count,total_violent_arrests,total_gun_poss_arrests,vi_ar,gp_ar
0,2014-01,2014,1201,144,224,248,18.65,172.22
1,2014-02,2014,910,103,212,165,23.3,160.19
2,2014-03,2014,1091,167,242,252,22.18,150.9
3,2014-04,2014,1248,224,237,302,18.99,134.82
4,2014-05,2014,1461,266,321,383,21.97,143.98
5,2014-06,2014,1496,264,317,341,21.19,129.17
6,2014-07,2014,1539,283,316,365,20.53,128.98
7,2014-08,2014,1512,207,306,295,20.24,142.51
8,2014-09,2014,1498,191,307,261,20.49,136.65
9,2014-10,2014,1557,196,315,275,20.23,140.31
10,2014-11,2014,1277,168,229,228,17.93,135.71
11,2014-12,2014,1449,175,240,263,16.56,150.29
12,2015-01,2015,1262,192,233,281,18.46,146.35
13,2015-02,2015,828,134,200,204,24.15,152.24
14,2015-03,2015,1114,265,238,323,21.36,121.89
15,2015-04,2015,1212,225,246,312,20.3,138.67
16,2015-05,2015,1373,228,306,328,22.29,143.86
17,2015-06,2015,1382,246,253,321,18.31,130.49
18,2015-07,2015,1582,278,333,396,21.05,142.45
19,2015-08,2015,1569,252,272,331,17.34,131.35
20,2015-09,2015,1552,234,312,336,20.1,143.59
21,2015-10,2015,1532,220,239,295,15.6,134.09
22,2015-11,2015,1297,188,193,235,14.88,125.0
23,2015-12,2015,1518,133,209,205,13.77,154.14
24,2016-01,2016,1536,135,219,210,14.26,155.56
25,2016-02,2016,1232,157,205,218,16.64,138.85
26,2016-03,2016,1438,206,249,291,17.32,141.26
27,2016-04,2016,1392,232,240,324,17.24,139.66
28,2016-05,2016,1756,258,286,335,16.29,129.84
29,2016-06,2016,1677,263,286,358,17.05,136.12
30,2016-07,2016,1910,234,297,331,15.55,141.45
31,2016-08,2016,2034,238,265,306,13.03,128.57
32,2016-09,2016,1756,266,255,315,14.52,118.42
33,2016-10,2016,1919,232,248,284,12.92,122.41
34,2016-11,2016,1836,239,236,304,12.85,127.2
35,2016-12,2016,1634,229,189,313,11.57,136.68
36,2017-01,2017,1702,278,192,366,11.28,131.65
37,2017-02,2017,1319,292,204,382,15.47,130.82
38,2017-03,2017,1376,265,208,349,15.12,131.7
39,2017-04,2017,1530,321,249,425,16.27,132.4
40,2017-05,2017,1676,349,252,449,15.04,128.65
41,2017-06,2017,1731,367,262,436,15.14,118.8
42,2017-07,2017,1796,434,280,525,15.59,120.97
43,2017-08,2017,1893,379,274,468,14.47,123.48
44,2017-09,2017,1756,356,271,428,15.43,120.22
45,2017-10,2017,1823,297,251,390,13.77,131.31
46,2017-11,2017,1731,268,202,352,11.67,131.34
47,2017-12,2017,1614,300,184,385,11.4,128.33
48,2018-01,2018,1476,336,237,428,16.06,127.38
49,2018-02,2018,1161,230,184,305,15.85,132.61
50,2018-03,2018,1391,299,213,395,15.31,132.11
51,2018-04,2018,1320,310,207,398,15.68,128.39
52,2018-05,2018,1606,398,252,522,15.69,131.16
53,2018-06,2018,1615,396,233,509,14.43,128.54
54,2018-07,2018,1694,407,247,477,14.58,117.2
55,2018-08,2018,1687,397,274,494,16.24,124.43
56,2018-09,2018,1485,344,216,424,14.55,123.26
57,2018-10,2018,1538,325,225,403,14.63,124.0
58,2018-11,2018,1381,304,215,380,15.57,125.0
59,2018-12,2018,1437,333,193,435,13.43,130.63
60,2019-01,2019,1242,312,231,433,18.6,138.78
61,2019-02,2019,984,283,175,376,17.78,132.86
62,2019-03,2019,1093,364,202,458,18.48,125.82
63,2019-04,2019,1245,333,236,458,18.96,137.54
64,2019-05,2019,1368,468,256,572,18.71,122.22
65,2019-06,2019,1474,421,235,542,15.94,128.74
66,2019-07,2019,1532,509,260,638,16.97,125.34
67,2019-08,2019,1453,446,229,572,15.76,128.25
68,2019-09,2019,1298,388,188,497,14.48,128.09
69,2019-10,2019,1311,336,218,445,16.63,132.44
70,2019-11,2019,1206,317,191,424,15.84,133.75
71,2019-12,2019,1287,339,185,446,14.37,131.56
72,2020-01,2020,1269,340,220,469,17.34,137.94
73,2020-02,2020,1104,359,203,477,18.39,132.87
74,2020-03,2020,999,298,178,387,17.82,129.87
75,2020-04,2020,925,250,133,303,14.38,121.2
76,2020-05,2020,1252,536,193,617,15.42,115.11
77,2020-06,2020,1329,509,189,587,14.22,115.32
78,2020-07,2020,1510,539,216,618,14.3,114.66
79,2020-08,2020,1521,631,214,733,14.07,116.16
80,2020-09,2020,1400,510,202,601,14.43,117.84
81,2020-10,2020,1418,528,158,581,11.14,110.04
82,2020-11,2020,1305,502,144,567,11.03,112.95
83,2020-12,2020,1086,509,153,573,14.09,112.57
84,2021-01,2021,1258,467,152,546,12.08,116.92
85,2021-02,2021,962,342,128,413,13.31,120.76
86,2021-03,2021,1050,497,123,555,11.71,111.67
87,2021-04,2021,1116,533,181,608,16.22,114.07
88,2021-05,2021,1215,587,141,661,11.6,112.61
89,2021-06,2021,1369,630,159,691,11.61,109.68
90,2021-07,2021,1538,516,158,584,10.27,113.18
91,2021-08,2021,1450,447,151,496,10.41,110.96
92,2021-09,2021,1584,488,162,537,10.23,110.04
93,2021-10,2021,1558,429,150,485,9.63,113.05
94,2021-11,2021,1412,426,150,483,10.62,113.38
95,2021-12,2021,1513,341,142,410,9.39,120.23
96,2022-01,2022,1204,310,139,357,11.54,115.16
97,2022-02,2022,1101,394,141,446,12.81,113.2
98,2022-03,2022,1176,412,131,479,11.14,116.26
99,2022-04,2022,1202,460,164,542,13.64,117.83
100,2022-05,2022,1436,669,193,782,13.44,116.89
101,2022-06,2022,1526,609,175,695,11.47,114.12
102,2022-07,2022,1530,575,184,651,12.03,113.22
103,2022-08,2022,1566,529,209,585,13.35,110.59
104,2022-09,2022,1601,518,173,603,10.81,116.41
105,2022-10,2022,1682,446,157,501,9.33,112.33
106,2022-11,2022,1487,333,151,409,10.15,122.82
107,2022-12,2022,1541,331,168,405,10.9,122.36
108,2023-01,2023,1501,458,165,557,10.99,121.62
109,2023-02,2023,1083,427,139,479,12.83,112.18
110,2023-03,2023,1312,418,130,473,9.91,113.16
111,2023-04,2023,1447,409,197,484,13.61,118.34
112,2023-05,2023,1569,497,200,587,12.75,118.11
113,2023-06,2023,1581,491,187,555,11.83,113.03
114,2023-07,2023,1787,591,225,666,12.59,112.69
115,2023-08,2023,2002,508,195,588,9.74,115.75
116,2023-09,2023,1910,433,203,506,10.63,116.86
117,2023-10,2023,1944,397,185,500,9.52,125.94
118,2023-11,2023,1706,395,173,457,10.14,115.7
119,2023-12,2023,1655,299,184,390,11.12,130.43
120,2024-01,2024,1333,412,193,513,14.48,124.51
121,2024-02,2024,1279,394,166,489,12.98,124.11
122,2024-03,2024,1442,407,182,499,12.62,122.6
123,2024-04,2024,1404,374,188,479,13.39,128.07
124,2024-05,2024,1532,413,213,494,13.9,119.61
125,2024-06,2024,1663,465,207,538,12.45,115.7
126,2024-07,2024,1721,597,219,668,12.73,111.89
127,2024-08,2024,1564,467,186,538,11.89,115.2
128,2024-09,2024,1556,468,189,553,12.15,118.16
129,2024-10,2024,1561,401,207,493,13.26,122.94
130,2024-11,2024,1363,322,180,429,13.21,133.23
131,2024-12,2024,1286,374,170,489,13.22,130.75
132,2025-01,2025,1062,368,164,456,15.44,123.91
133,2025-02,2025,855,345,144,450,16.84,130.43
134,2025-03,2025,1021,441,171,570,16.75,129.25
135,2025-04,2025,1061,372,170,468,16.02,125.81
136,2025-05,2025,1216,424,144,472,11.84,111.32
137,2025-06,2025,691,214,72,229,10.42,107.01
